CAL,CA
CAR,NC,SC
CENT,ND,SD,NE,KS,OK
FLA,FL
MIDA,PA,NJ,DE,MD,VA,WV,OH,KY
MIDW,LA,MS,AR,MO,IL,IN,IA,WI,MI,MN
NE,ME,RI,NH,VT,MA,CT
NY,NY
NW,MT,WY,CO,UT,NV,ID,OR,WA
SE,GA,AL
SW,NM,AZ
TEN,TN
TEX,TX
